Model,Accuracy,F1-Score,Precision,Recall,Acc (Closed),Acc (Open)
Baseline,0.5857461024498887,0.5715105858291432,0.5692743132887899,0.5857461024498887,0.7258064516129032,0.4129353233830846
ViLT,0.5300668151447662,0.5165991503308004,0.5157637867649617,0.5300668151447662,0.7419354838709677,0.26865671641791045
